id;extracted_data_id;zeile_inhalt;zeile_inhalt_orig;regex_pattern;quell_tabelle;quell_feld;Hit_Platz;Hit_StartNr;Hit_Zeit;zeile_inhalt_Typ;gefunden_am
51;159;Frankfurter RC;3 Frankfurter RC 01:49.23 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;2;01:49.23;Boot;2025-11-29 19:23:02.120886
52;169;Hanauer RC Hassia;1 Hanauer RC Hassia 01:31.14 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;4;01:31.14;Boot;2025-11-29 19:23:02.120897
53;171;Offenbacher RG Undine;2 Offenbacher RG Undine 01:35.71 5;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;5;01:35.71;Boot;2025-11-29 19:23:02.120908
54;173;RG Eberbach;3 RG Eberbach 01:37.02 3;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;3;01:37.02;Boot;2025-11-29 19:23:02.120918
55;181;Marburger RV;1 Marburger RV 01:47.39 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;8;01:47.39;Boot;2025-11-29 19:23:02.120929
56;183;Hanauer RC Hassia;2 Hanauer RC Hassia 01:50.72 3;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;3;01:50.72;Boot;2025-11-29 19:23:02.120939
57;187;Frauen-RV Freiweg Frankfurt;1 Frauen-RV Freiweg Frankfurt 01:52.70 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;4;01:52.70;Boot;2025-11-29 19:23:02.120950
58;189;Frankfurter RG Borussia;2 Frankfurter RG Borussia 01:55.00 5;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;5;01:55.00;Boot;2025-11-29 19:23:02.120960
59;191;RG Wetzlar;3 RG Wetzlar 01:59.95 7;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;7;01:59.95;Boot;2025-11-29 19:23:02.120970
60;193;RV Hellas Offenbach;4 RV Hellas Offenbach 02:08.33 6;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;6;02:08.33;Boot;2025-11-29 19:23:02.120980
61;205;RC Aschaffenburg;1 RC Aschaffenburg - Boot 1 - 02:04.12 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;1;02:04.12;Boot;2025-11-29 19:23:02.120993
62;207;Limburger ClfW;2 Limburger ClfW - Boot 1 - 02:13.07 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;2;02:13.07;Boot;2025-11-29 19:23:02.121003
63;209;SG Wiking;3 SG Wiking - Boot 1 - 02:13.48 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;4;02:13.48;Boot;2025-11-29 19:23:02.121014
64;211;RC Aschaffenburg;4 RC Aschaffenburg - Boot 2 - 02:26.07 5;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;4;5;02:26.07;Boot;2025-11-29 19:23:02.121024
65;215;Hanauer RC Hassia;1 Hanauer RC Hassia 02:12.01 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;8;02:12.01;Boot;2025-11-29 19:23:02.121034
66;217;Limburger ClfW;2 Limburger ClfW - Boot 2 - 02:14.35 7;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;7;02:14.35;Boot;2025-11-29 19:23:02.121044
67;219;SG Wiking;3 SG Wiking - Boot 2 - 02:24.08 6;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;6;02:24.08;Boot;2025-11-29 19:23:02.121055
68;223;RC Karlstadt;1 RC Karlstadt - Boot 1 - 02:02.70 10;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;10;02:02.70;Boot;2025-11-29 19:23:02.121066
69;225;RG Wetzlar;2 RG Wetzlar - Boot 2 - 02:12.15 11;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;11;02:12.15;Boot;2025-11-29 19:23:02.121076
70;227;Limburger ClfW;3 Limburger ClfW - Boot 3 - 02:33.63 9;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;9;02:33.63;Boot;2025-11-29 19:23:02.121087
71;231;Hanauer RG;1 Hanauer RG - Boot 2 - 02:16.43 14;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;14;02:16.43;Boot;2025-11-29 19:23:02.121097
72;233;Mühlheimer RV;2 Mühlheimer RV - Boot 2 - 02:25.19 13;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;13;02:25.19;Boot;2025-11-29 19:23:02.121108
73;235;Hanauer RG;3 Hanauer RG - Boot 1 - 02:26.41 12;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;12;02:26.41;Boot;2025-11-29 19:23:02.121118
74;239;Mühlheimer RV;1 Mühlheimer RV - Boot 1 - 02:10.90 17;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;17;02:10.90;Boot;2025-11-29 19:23:02.121150
75;241;RC Karlstadt;2 RC Karlstadt - Boot 2 - 02:12.77 15;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;15;02:12.77;Boot;2025-11-29 19:23:02.121163
