ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
150;4 - Boot 1 - 01:41.48 3;4 RG Wetzlar - Boot 1 - 01:41.48 3;519;2025-11-29 10:16:55
151;1 01:40.77 7;1 RG Eberbach 01:40.77 7;523;2025-11-29 10:16:55
152;2 01:41.13 9;2 RG Eberbach 01:41.13 9;525;2025-11-29 10:16:55
153;3 - Boot 2 - 01:41.46 8;3 Hanauer RC Hassia - Boot 2 - 01:41.46 8;527;2025-11-29 10:16:55
154;4 - Boot 1 - 01:44.19 6;4 Wormser RC - Boot 1 - 01:44.19 6;529;2025-11-29 10:16:55
155;1 01:47.17 11;1 RC Aschaffenburg 01:47.17 11;533;2025-11-29 10:16:55
156;2 01:52.49 13;2 Offenbacher RG Undine 01:52.49 13;535;2025-11-29 10:16:55
157;1 01:44.89 16;1 Frankfurter RG Oberrad 01:44.89 16;539;2025-11-29 10:16:55
158;2 01:46.34 15;2 Limburger ClfW 01:46.34 15;541;2025-11-29 10:16:55
159;3 - Boot 2 - 01:49.81 14;3 Nassovia Höchst - Boot 2 - 01:49.81 14;543;2025-11-29 10:16:55
160;1 01:46.89 20;1 Frankfurter RC 01:46.89 20;547;2025-11-29 10:16:55
161;2 am Main-Bürgel - Boot 3 - 01:49.41 21;2 WSV Offenbach am Main-Bürgel - Boot 3 - 01:49.41 21;549;2025-11-29 10:16:55
162;3 01:50.19 19;3 RC Möve Grossauheim 01:50.19 19;551;2025-11-29 10:16:55
163;4 - Boot 2 - 01:52.35 18;4 RG Wetzlar - Boot 2 - 01:52.35 18;553;2025-11-29 10:16:55
164;1 01:32.08 1;1 Offenbacher RG Undine 01:32.08 1;568;2025-11-29 10:16:55
165;2 - Boot 1 - 01:32.43 2;2 Frankfurter RG Germania - Boot 1 - 01:32.43 2;570;2025-11-29 10:16:55
166;3 - Boot 2 - 01:34.47 5;3 Frankfurter RG Germania - Boot 2 - 01:34.47 5;572;2025-11-29 10:16:55
167;4 Rgm. / 01:40.83 4;4 Rgm. Hanauer RC Hassia/ Hanauer RG 01:40.83 4;574;2025-11-29 10:16:55
168;1 01:39.70 6;1 Frankfurter RG Oberrad 01:39.70 6;578;2025-11-29 10:16:55
169;2 - Boot 1 - 01:40.15 7;2 Hanauer RG - Boot 1 - 01:40.15 7;580;2025-11-29 10:16:55
170;1 - Boot 2 - 01:43.69 8;1 Hanauer RG - Boot 2 - 01:43.69 8;584;2025-11-29 10:16:55
171;2 01:52.58 9;2 Hanauer RC Hassia 01:52.58 9;586;2025-11-29 10:16:55
172;1 01:42.20 1;1 Frankfurter RG Borussia 01:42.20 1;593;2025-11-29 10:16:55
173;2 01:44.52 2;2 Gießener RC Hassia 01:44.52 2;595;2025-11-29 10:16:55
174;1 01:44.54 4;1 RV Hellas Offenbach 01:44.54 4;599;2025-11-29 10:16:55
175;2 01:49.41 3;2 Marburger RV 01:49.41 3;601;2025-11-29 10:16:55
176;1 01:41.76 7;1 RC Möve Grossauheim 01:41.76 7;605;2025-11-29 10:16:55
177;2 01:42.59 5;2 Wormser RC 01:42.59 5;607;2025-11-29 10:16:55
178;3 01:47.74 6;3 WSV Hellas Gießen 01:47.74 6;609;2025-11-29 10:16:55
179;1 01:49.98 2;1 RC Aschaffenburg 01:49.98 2;614;2025-11-29 10:16:55
180;2 01:55.73 1;2 WSV Hellas Gießen 01:55.73 1;616;2025-11-29 10:16:55
181;1 01:55.64 4;1 Frankfurter RG Oberrad 01:55.64 4;620;2025-11-29 10:16:55
182;2 02:05.14 5;2 Wormser RC 02:05.14 5;622;2025-11-29 10:16:55
183;1 Rgm. / 01:49.78 1;1 Rgm. RV Hellas Offenbach/ Limburger ClfW 01:49.78 1;634;2025-11-29 10:16:55
184;2 01:53.64 2;2 Frauen-RV Freiweg Frankfurt 01:53.64 2;636;2025-11-29 10:16:55
185;1 01:25.05 2;1 RG Eberbach 01:25.05 2;641;2025-11-29 10:16:55
186;2 Rgm. / / RG Wetzlar 01:26.52 1;2 Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar 01:26.52 1;643;2025-11-29 10:16:55
187;3 02:13.24 3;3 Frankfurter RG Germania 02:13.24 3;646;2025-11-29 10:16:55
188;1 Rgm. / 01:26.30 6;1 Rgm. Hanauer RC Hassia/ RV Dorsten 01:26.30 6;650;2025-11-29 10:16:55
189;2 Rgm. / 01:34.91 4;2 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:34.91 4;653;2025-11-29 10:16:55
190;3 am Main-Bürgel 01:35.30 5;3 WSV Offenbach am Main-Bürgel 01:35.30 5;656;2025-11-29 10:16:55
191;1 01:44.84 4;1 RG Wetzlar 01:44.84 4;661;2025-11-29 10:16:55
192;2 - Boot 2 - 01:48.04 5;2 RC Möve Grossauheim - Boot 2 - 01:48.04 5;663;2025-11-29 10:16:55
193;3 - Boot 1 - 01:57.40 3;3 SG Wiking - Boot 1 - 01:57.40 3;665;2025-11-29 10:16:55
194;4 02:01.33 2;4 RC Karlstadt 02:01.33 2;667;2025-11-29 10:16:55
195;1 - Boot 2 - 01:54.08 6;1 SG Wiking - Boot 2 - 01:54.08 6;671;2025-11-29 10:16:55
196;2 - Boot 3 - 01:58.70 12;2 RC Möve Grossauheim - Boot 3 - 01:58.70 12;673;2025-11-29 10:16:55
197;3 - Boot 3 - 02:09.07 8;3 SG Wiking - Boot 3 - 02:09.07 8;675;2025-11-29 10:16:55
198;1 am Main-Bürgel 01:54.28 9;1 WSV Offenbach am Main-Bürgel 01:54.28 9;679;2025-11-29 10:16:55
199;2 - Boot 1 - 01:57.82 10;2 Hanauer RG - Boot 1 - 01:57.82 10;681;2025-11-29 10:16:55
200;3 - Boot 2 - 02:13.96 11;3 Hanauer RG - Boot 2 - 02:13.96 11;683;2025-11-29 10:16:55
201;4 02:18.84 13;4 Frankfurter Ruder- und Kanusport Verein 02:18.84 13;685;2025-11-29 10:16:55
202;1 01:50.56 1;1 Hanauer RC Hassia 01:50.56 1;697;2025-11-29 10:16:55
203;2 01:52.04 3;2 SRR Schillerschule Frankfurt 01:52.04 3;699;2025-11-29 10:16:55
204;3 - Boot 1 - 01:58.75 2;3 Frankfurter RC - Boot 1 - 01:58.75 2;701;2025-11-29 10:16:55
205;4 01:59.84 4;4 Limburger ClfW 01:59.84 4;703;2025-11-29 10:16:55
206;1 - Boot 2 - 02:03.87 5;1 Frankfurter RC - Boot 2 - 02:03.87 5;707;2025-11-29 10:16:55
207;2 02:08.78 8;2 RC Karlstadt 02:08.78 8;709;2025-11-29 10:16:55
208;3 02:12.02 7;3 RC Möve Grossauheim 02:12.02 7;711;2025-11-29 10:16:55
209;1 Rgm. / 01:25.05 3;1 Rgm. RC Möve Grossauheim/ Frankfurter RG Borussia 01:25.05 3;718;2025-11-29 10:16:55
210;2 01:26.25 2;2 Wormser RC 01:26.25 2;721;2025-11-29 10:16:55
211;3 01:26.48 1;3 Nassovia Höchst 01:26.48 1;723;2025-11-29 10:16:55
212;1 01:24.48 5;1 Hanauer RC Hassia 01:24.48 5;727;2025-11-29 10:16:55
213;2 01:26.07 4;2 Hanauer RG 01:26.07 4;729;2025-11-29 10:16:55
