ID;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
278;RV Hellas Offenbach;965;;11638;RV Hellas Offenbach;2025-11-29 16:37:32
279;Mühlheimer RV;967;;11637;Mühlheimer RV;2025-11-29 16:37:32
280;WSV Offenbach am Main-Bürgel;969;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
281;RC Möve Grossauheim;971;;11625;RC Möve Grossauheim;2025-11-29 16:37:32
282;RC Aschaffenburg;975;;11101;RC Aschaffenburg;2025-11-29 16:37:32
283;Frankfurter Ruder- und Kanusport Verein;977;;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 16:37:32
284;WSV Offenbach am Main-Bürgel;979;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
285;Mühlheimer RV;981;;11637;Mühlheimer RV;2025-11-29 16:37:32
286;WSV Offenbach am Main-Bürgel;985;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
287;Frankfurter RC;987;;11616;Frankfurter RC;2025-11-29 16:37:32
288;Frankfurter RC;994;;11616;Frankfurter RC;2025-11-29 16:37:32
289;WSV Offenbach am Main-Bürgel;996;am Main-Bürgel;11642;WSV Offenbach;2025-11-29 16:37:32
290;Marburger RV;998;;11636;Marburger RV;2025-11-29 16:37:32
291;Rgm. Frankfurter RG Germania/ Weilburger RV;1011;Rgm. / Weilburger RV;11610;Frankfurter RG Germania;2025-11-29 16:37:32
292;Frankfurter RG Oberrad;1013;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
293;Hanauer RC Hassia;1015;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
294;Frankfurter RC;1019;;11616;Frankfurter RC;2025-11-29 16:37:32
295;Nassovia Höchst;1021;;11612;Nassovia Höchst;2025-11-29 16:37:32
296;RG Eberbach;1023;;11004;RG Eberbach;2025-11-29 16:37:32
297;Frankfurter RG Oberrad;1027;;11614;Frankfurter RG Oberrad;2025-11-29 16:37:32
298;Frankfurter RC;1029;;11616;Frankfurter RC;2025-11-29 16:37:32
299;RG Wetzlar;1031;;11647;RG Wetzlar;2025-11-29 16:37:32
300;Hanauer RC Hassia;1037;;11626;Hanauer RC Hassia;2025-11-29 16:37:32
301;Frankfurter RG Germania;1039;;11610;Frankfurter RG Germania;2025-11-29 16:37:32
302;RG Eberbach;1041;;11004;RG Eberbach;2025-11-29 16:37:32
