ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
373;;RC Aschaffenburg;1307;2025-11-29 16:37:31
374;;SG Wiking;1309;2025-11-29 16:37:31
375;;RC Aschaffenburg;1313;2025-11-29 16:37:31
376;;RC Karlstadt;1315;2025-11-29 16:37:31
377;;SG Wiking;1317;2025-11-29 16:37:31
378;;Mühlheimer RV;1321;2025-11-29 16:37:31
379;;RC Karlstadt;1323;2025-11-29 16:37:31
380;;Hanauer RG;1325;2025-11-29 16:37:31
381;;Hanauer RG;1327;2025-11-29 16:37:31
382;;Hanauer RG;1331;2025-11-29 16:37:31
383;;Hanauer RG;1333;2025-11-29 16:37:31
384;;Mühlheimer RV;1335;2025-11-29 16:37:31
385;;Mühlheimer RV;1339;2025-11-29 16:37:31
386;;Hanauer RG;1341;2025-11-29 16:37:31
387;am Main-Bürgel;WSV Offenbach am Main-Bürgel;1343;2025-11-29 16:37:31
388;;Mühlheimer RV;1351;2025-11-29 16:37:31
389;;Frauen-RV Freiweg Frankfurt;1353;2025-11-29 16:37:31
390;;Hanauer RG;1357;2025-11-29 16:37:31
391;;Gießener RC Hassia;1359;2025-11-29 16:37:31
392;;Hanauer RG;1361;2025-11-29 16:37:31
393;;Hanauer RC Hassia;1372;2025-11-29 16:37:31
394;am Main-Bürgel;WSV Offenbach am Main-Bürgel;1374;2025-11-29 16:37:31
395;;RG Wetzlar;1376;2025-11-29 16:37:31
396;;Frankfurter RG Germania;1385;2025-11-29 16:37:31
397;;Frankfurter RC;1387;2025-11-29 16:37:31
398;;RG Wetzlar;1389;2025-11-29 16:37:31
399;;Frankfurter Ruder- und Kanusport Verein;1393;2025-11-29 16:37:31
400;;Hanauer RG;1395;2025-11-29 16:37:31
401;;Frankfurter RC;1403;2025-11-29 16:37:31
402;;RG Eberbach;1405;2025-11-29 16:37:31
403;;Frankfurter RG Oberrad;1409;2025-11-29 16:37:31
404;;RG Wetzlar;1411;2025-11-29 16:37:31
405;;SG Wiking;1413;2025-11-29 16:37:31
406;;RG Wetzlar;1415;2025-11-29 16:37:31
407;Rgm. /;Rgm. Hanauer RC Hassia/ Frankfurter RG Borussia;1426;2025-11-29 16:37:31
408;;Frankfurter RG Borussia;1428;2025-11-29 16:37:31
409;;Gießener RC Hassia;1430;2025-11-29 16:37:31
410;Rgm. /;Rgm. DRC Ingolstadt/ RC Möve Grossauheim;1434;2025-11-29 16:37:31
411;;Marburger RV;1436;2025-11-29 16:37:31
412;;RV Hellas Offenbach;1438;2025-11-29 16:37:31
413;Rgm. /;Rgm. Frankfurter RC/ Frankfurter RG Germania;1442;2025-11-29 16:37:31
414;Rgm. /;Rgm. Frankfurter RC/ SG Wiking;1444;2025-11-29 16:37:31
415;;SG Wiking;1449;2025-11-29 16:37:31
416;;RC Karlstadt;1451;2025-11-29 16:37:31
417;;Frankfurter RG Oberrad;1456;2025-11-29 16:37:31
418;;RC Möve Grossauheim;1458;2025-11-29 16:37:31
419;;Wormser RC;1465;2025-11-29 16:37:31
420;;Mühlheimer RV;1467;2025-11-29 16:37:31
421;;Frankfurter RG Germania;1469;2025-11-29 16:37:31
422;;Frankfurter RG Oberrad;1481;2025-11-29 16:37:31
423;;Frankfurter RG Oberrad;1483;2025-11-29 16:37:31
424;;SG Wiking;1485;2025-11-29 16:37:31
425;;RG Wetzlar;1489;2025-11-29 16:37:31
426;;Frankfurter RC;1491;2025-11-29 16:37:31
427;;SG Wiking;1493;2025-11-29 16:37:31
428;;Mühlheimer RV;1497;2025-11-29 16:37:31
429;;SG Wiking;1499;2025-11-29 16:37:31
430;;Hanauer RG;1501;2025-11-29 16:37:31
431;;Frankfurter RG Oberrad;1505;2025-11-29 16:37:31
432;;RC Möve Grossauheim;1507;2025-11-29 16:37:31
433;;Frankfurter RC;1509;2025-11-29 16:37:31
434;Rgm. /;Rgm. RC Möve Grossauheim/ Mühlheimer RV;1514;2025-11-29 16:37:31
435;am Main-Bürgel;WSV Offenbach am Main-Bürgel;1516;2025-11-29 16:37:31
436;am Main-Bürgel;WSV Offenbach am Main-Bürgel;1518;2025-11-29 16:37:31
437;;RG Wetzlar;1532;2025-11-29 16:37:31
438;;RG Eberbach;1534;2025-11-29 16:37:31
439;;Wormser RC;1536;2025-11-29 16:37:31
440;;Hanauer RC Hassia;1538;2025-11-29 16:37:31
441;;Hanauer RC Hassia;1542;2025-11-29 16:37:31
442;;Marburger RV;1544;2025-11-29 16:37:31
