"PrimaryKey";"Verein_DRVID";"Verein";"Lettern";"Kurzident";"Kurzident2";"AnzahlKurzIdent";"ErstesVereinZeichen";"Knüpf";"Laenge"
164;15114;"Schülerruderriege Josef-Effner-Gymnasium Dachau";"SRR Josef-Effner-Gymnasium Dachau";"Effner";;1;"S";"K";47
165;11036;"Rudergesellschaft ""Ghibellinia"" Waiblingen 1920";"RGGW";"Waibl";;1;"R";"K";47
166;12214;"Universitätssportverein TU Dresden Abt. Rudern";"USVD";"dresden";"uni";2;"U";"K";46
167;15605;"RR am Schulsportzentrum Obersberg Bad Hersfeld";"RRSBH";"hersf";"Schul";2;"R";"K";46
168;15209;"Schülerruderriege des Lessing-Gymnasium Berlin";"SRRLOB";"berlin";"lessin";2;"S";"K";46
169;11310;"Spiel- u. Sportvereinigung PCK 90 Schwedt e.V.";"SSVPCK";"Schwedt";"sport";2;"S";"K";46
170;40001;"Regatta-Verband Ems-Jade-Weser/ Team Nord West";"RVEJW/TNW";"Jade";"rv";2;"R";"K";46
171;11843;"Postsportverein Oldenburg e.V.  Ruderabteilung";"PSVO";"Oldenburg";"psot";2;"P";"K";46
172;11935;"Ruderverein 'Emscher' Wanne-Eickel-Herten e.V.";"RVE";"emscher";;1;"R";"K";46
173;12006;"Ruder- und Kanu-Verein Bad Kreuznach 1950 e.V.";"RKVK";"Kreuznach";;1;"R";"K";46
174;11935;"Ruderverein 'Emscher' Wanne-Eickel Herten e.V.";"RVEWH";"emscher";;1;"R";"K";46
175;11131;"Ruderverein Babensham-Wasserburg von 1981 e.V.";"RVB";"Babensha";;1;"R";"K";46
176;11123;"Schweinfurter Ruder-Club Franken von 1882 e.V.";"SRCF";"Schwein";;1;"S";"K";46
177;15220;"SRR Sportschule im Olympiapark Poelchau-Schule";"SRR Poelchau-Schule";"Poelcha";;1;"S";"K";46
178;11648;"Rudergesellschaft Wiesbaden-Biebrich 1888 e.V.";"RGWB";"Biebr";;1;"R";"K";46
179;11642;"Wassersportverein 1926 Offenbach a.M. - Bürgel";"WSVO";"bürgel";;1;"W";"K";46
180;11609;"Frauen-Ruderverein Freiweg Frankfurt e.V. 1927";"FRVF";"Frankfurt";"freiweg";2;"F";"K";46
181;11019;"Mannheimer Rudergesellschaft Rheinau 1909 e.V.";"MRGR";"Mannheim";"rhein";2;"M";"K";46
182;11116;"Münchener Ruder- und Segelverein 'Bayern' 1910";"MRSV";"München";"segel";2;"M";"K";46
183;11641;"Offenbacher Rudergesellschaft Undine 1876 e.V.";"ORGU";"off";"undi";2;"O";"K";46
184;30017;"Landesruderverband Mecklenburg-Vorpommern e.V.";"LRVMVP";"Mecklen";"landes";2;"L";"K";46
185;19717;"Landesruderverband Mecklenburg-Vorpommern e.V.";"LRV MV";"Mecklen";"landes";2;"L";"K";46
186;11023;"Wassersportverein Schifferclub Neckarrems e.V.";"WSV SCN";"Neckarrems";;1;"W";"K";46
187;11603;"Darmstädter Schwimm- und Wassersport-Club 1912";"DSW";"Darmstädter";"Schwimm";2;"D";"K";46
188;11705;"Schweriner Rudergesellschaft von 1874/75 e.V.";"SRG";"Schweriner";;1;"S";"K";45
