ID_MSACCESS;Datum;Regatta;Jahr;Wasser-Ergo;Original-Reg-Text;Bermerkung;Saison;Oeffentlich;Zeitformat;Zwischenzeiten;MasterID;EnemyMine;use;2ter_Durchlauf;PDFForm;anlegeDatum
60;02.03.2020;MittelDeuErg2Mrz2020;2020;Erg;MittelDeuErg2Mrz2020;;19/20;1;0M:SS.Z;ja;ja;ja;;;;
61;22.01.2022;MittelDeuErg22Jan2022;2022;Erg;MittelDeuErg22Jan2022;;22/23;1;;ja;ja;ja;;;;
62;18.04.2010;DMBrandenburg18Apr2010;2010;Rudern;DMBrandenburg18Apr2010;;10;1;;nein;ja;ja;;;;
63;14.01.2017;NordDeuErg14Jan2017;2017;Erg;NordDeuErg14Jan2017;;17;1;MM:SS.Z;ja;ja;ja;;;;
64;13.01.2018;NordDeuErg13Jan2018;2018;Erg;NordDeuErg13Jan2018;;18;1;MM:SS.ZZ;nein;ja;ja;;;;
65;12.01.2019;NordDeuErg12Jan2019;2019;Erg;NordDeuErg12Jan2019;;19;1;MM:SS.Z;ja;ja;ja;;;;
66;19.01.2020;NordDeuErg19Jan2020;2020;Erg;NordDeuErg19Jan2020;;20;1;MM:SS.Z;ja;ja;ja;;;;
67;14.12.2019;BerlinErg14Dez2019;2019;Erg;BerlinErg14Dez2019;;19;1;;;ja;ja;;;;
68;15.01.2005;SchwedtErg15Jan2005;2005;Erg;SchwedtErg15Jan2005;2000/1000/500;2005;1;;;ja;ja;;;;
69;14.01.2005;SchwedtErg14Jan2006;2005;Erg;SchwedtErg14Jan2006;2000/1000/500;2006;1;;;ja;ja;;;;
70;01.04.2019;LeipzigLS1Apr2019;2019;Rudern;Ls Leipzig 1Apr2019;6000;19;1;MM:SS;ja;ja;ja;;;;
71;04.04.2016;LeipzigLS4Apr2016;2016;Rudern;LeipzigLS4Apr2016;6000;16;1;MM:SS;ja;ja;ja;;;;
72;15.09.2024;Nürti15Sep2024;2024;Rudern;Nürti15Sep2024;500;24;1;M:SS.ZZ;nein;ja;ja;;;;
73;07.05.2023;OFUndine7Mai2023;2023;Rudern;RudernOffenbacher RG UNDINE;1000;23;1;;nein;ja;ja;;;;
75;06.05.2024;OFUndine6Mai2024;2024;Rudern;OFUndine6Mai2024;1000;24;1;M:SS.ZZ;nein;ja;ja;;;;
76;09.05.2022;OFUndine9Mai2022;2022;Rudern;OFUndine9Mai2022;1000;22;1;M:SS.ZZ;nein;ja;ja;;;;
77;12.02.2023;LudwigErg12Feb2023;2023;Erg;LudwigErg12Feb2023;500/1000/1500/2000;23;1;M:SS.ZZ;ja;ja;ja;;;;
78;26.11.2022;DortmundLSNRW2022;2022;Rudern;DortmundLSNRW2022;6000;22;1;M:SS;ja;ja;ja;;;;
79;30.11.2024;DortmundErg30Nov2024;2024;Erg;DortmundErg30Nov2024;2000;24/25;1;MM:SS,Z;nein;ja;ja;;;;
80;01.12.2024;DortmundLS1Dez2024;2024;Rudern;DortmundLS1Dez2024;6000;24/25;1;MM:SS;nein;ja;ja;;;;
81;30.11.2024;DortmundNRWLS30Nov2024;2024;Rudern;DortmundNRWLS30Nov2024;6000;24/25;1;MM:SS;nein;ja;ja;;;;
83;08.12.2024;BreisachLS8Dez2024;2024;Rudern;BreisachLS8Dez2024;5300 normiert auf 6000 nur als Tabelle in Breisach DB;24;1;M:SS,ZZ;nein;je;je;;;;
84;07.09.2008;LimburgSep2008;2008;Rudern;LimburgSep2008;500;08;1;M:SS,ZZ;nein;ja;ja;;;;
85;15.12.2024;GiessenErg15Dez2024;2024;Erg;GiessenErg15Dez2024;350/500/1000/1500/2000;24/25;1;M:SS.ZZ;nein;ja;ja;;;;
86;14.12.2024;NRWErgBessel14Dez2024;2024;Erg;NRWErgBessel14Dez2024;;24/25;1;MM:SS,Z;nein;ja;ja;;;;
87;20.12.2024;BerlinErg14Dez2024;2024;Erg;BerlinErg14Dez2024;333/350/500/1000/1500/2000;24/25;1;;ja;ja;ja;;;;
