"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
385;;865;"MM/W 8+ A-M Mix";"MM/W 8+ A-M";"MM/W 8+ A-M mix";"Boot";"MM/W";"M";"8+";"A-M";"mix";;;;;;;;;;;;"M/W";"M/F";;9
386;;1181;"MW 0 FUN";"MW";"MW FUN";"Ergo";"MW";"M";;;"FUN";;;;;;;;;;;;"W";"F";;
387;;866;"MW 1x";"MW 1x";"MW 1x";"Boot";"MW";"M";"1x";;;;319;;;;;;;;;;"W";"F";;1
388;;33;"Frauen-Einer ADH";"MW 1x";"MW 1x ADH";"Boot";"MW";"M";"1x";;"ADH";;319;;;;;;;"Hwt";"75-79";"75/79";"W";"F";;1
389;;34;"Frauen-Einer MA 27";"MW 1x A";"MW 1x A";"Boot";"MW";"M";"1x";"A";;;354;;;;;;;"Hwt";"27-35";"27/35";"W";"F";;1
390;;870;"MW 1x A/C/E/G/I/K/M";"MW 1x A/C/E/G/I/K/M";"MW 1x A/C/E/G/I/K/M";"Boot";"MW";"M";"1x";"A/C/E/G/I/K/M";;;;;;;;;;;;;"W";"F";;1
391;;872;"MW 1x A-K";"MW 1x A-K";"MW 1x A-K";"Boot";"MW";"M";"1x";"A-K";;;;;;;;;;;;;"W";"F";;1
392;;873;"MW 1x B";"MW 1x B";"MW 1x B";"Boot";"MW";"M";"1x";"B";;;312;;;;;;;"Hwt";"36-42";"36/42";"W";"F";;1
393;;875;"MW 1x B/D/F/H/J/L";"MW 1x B/D/F/H/J/L";"MW 1x B/D/F/H/J/L";"Boot";"MW";"M";"1x";"B/D/F/H/J/L";;;;;;;;;;;;;"W";"F";;1
394;;877;"MW 1x C";"MW 1x C";"MW 1x C";"Boot";"MW";"M";"1x";"C";;;313;;;;;;;"Hwt";"43-49";"43/49";"W";"F";;1
395;;879;"MW 1x D";"MW 1x D";"MW 1x D";"Boot";"MW";"M";"1x";"D";;;314;;;;;;;"Hwt";"50-54";"50/54";"W";"F";;1
396;;880;"MW 1x E";"MW 1x E";"MW 1x E";"Boot";"MW";"M";"1x";"E";;;315;;;;;;;"Hwt";"55-59";"55/59";"W";"F";;1
397;;882;"MW 1x F";"MW 1x F";"MW 1x F";"Boot";"MW";"M";"1x";"F";;;316;;;;;;;"Hwt";"60-64";"60/64";"W";"F";;1
398;;884;"MW 1x G";"MW 1x G";"MW 1x G";"Boot";"MW";"M";"1x";"G";;;317;;;;;;;"Hwt";"65-69";"65/69";"W";"F";;1
399;;885;"MW 1x H";"MW 1x H";"MW 1x H";"Boot";"MW";"M";"1x";"H";;;318;;;;;;;"Hwt";"70-74";"70/74";"W";"F";;1
400;;1286;"MW 1x I";"MW 1x I";"MW 1x I";"Boot";"MW";"M";"1x";"I";;;;;;;;;;;;;"W";"F";;1
401;;497;"Lgw.Frauen-Einer ADH";"MW 1x LG";"MW 1x LG ADH";"Boot";"MW";"M";"1x";;"ADH";"LG";;;;;;;;;;;"W";"F";;1
402;;886;"MW 2- A";"MW 2- A";"MW 2- A";"Boot";"MW";"M";"2-";"A";;;382;;;;;;;"Hwt";"27-64";;"W";"F";;2
403;;887;"MW 2x";"MW 2x";"MW 2x";"Boot";"MW";"M";"2x";;;;117;;;;;;;"Hwt";"27-64";;"W";"F";;2
404;;888;"MW 2x A/C/E/G/I/K/M";"MW 2x A/C/E/G/I/K/M";"MW 2x A/C/E/G/I/K/M";"Boot";"MW";"M";"2x";"A/C/E/G/I/K/M";;;;;;;;;;;;;"W";"F";;2
405;;889;"MW 2x A-F";"MW 2x A-F";"MW 2x A-F";"Boot";"MW";"M";"2x";"A-F";;;;;;;;;;;;;"W";"F";;2
406;;890;"MW 2x A-K";"MW 2x A-K";"MW 2x A-K";"Boot";"MW";"M";"2x";"A-K";;;;;;;;;;;;;"W";"F";;2
407;;891;"MW 2x B";"MW 2x B";"MW 2x B";"Boot";"MW";"M";"2x";"B";;;;;;;;;;;;;"W";"F";;2
408;;892;"MW 2x B/D/F/H/J/L";"MW 2x B/D/F/H/J/L";"MW 2x B/D/F/H/J/L";"Boot";"MW";"M";"2x";"B/D/F/H/J/L";;;;;;;;;;;;;"W";"F";;2
409;;894;"MW 2x C";"MW 2x C";"MW 2x C";"Boot";"MW";"M";"2x";"C";;;;;;;;;;;;;"W";"F";;2
410;;895;"MW 2x D";"MW 2x D";"MW 2x D";"Boot";"MW";"M";"2x";"D";;;;;;;;;;;;;"W";"F";;2
411;;896;"MW 2x E";"MW 2x E";"MW 2x E";"Boot";"MW";"M";"2x";"E";;;;;;;;;;;;;"W";"F";;2
412;;9;"Frauen 30-39 Jahre";"MW 30-39";"MW 30-39";"Ergo";"MW";"M";;"30-39";"";;;;;;;;;;;;"W";"F";;
413;;897;"MW 4- D";"MW 4- D";"MW 4- D";"Boot";"MW";"M";"4-";"D";;;;;;;;;;;;;"W";"F";;4
414;;1262;"MW B 40-49";"MW 40-49";"MW 40-49";"Ergo";"MW";"M";;"40-49";;;;;;;;;;;;;"W";"F";;
415;;13;"Frauen 40-49J";"MW 40-49";"MW 40-49";"Ergo";"MW";"M";;"40-49";"";;;;;;;;;;;;"W";"F";;
416;;1263;"MW B 40-49 Lgw";"MW 40-49 LG";"MW 40-49 LG";"Ergo";"MW";"M";;"40-49";;"LG";;;;;;;;;;;"W";"F";;
417;;898;"MW 4x";"MW 4x-";"MW 4x-";"Boot";"MW";"M";"4x-";;;;384;;;;;;;;;;"W";"F";;4
418;;29;"Frauen-Doppelvierer ADH";"MW 4x-";"MW 4x- ADH";"Boot";"MW";"M";"4x-";;"ADH";;384;;;;;;;"Hwt";"27-76";"27/76";"W";"W";;4
419;;899;"MW 4x A/C/E/G/I/K/M";"MW 4x- A/C/E/G/I/K/M";"MW 4x- A/C/E/G/I/K/M";"Boot";"MW";"M";"4x-";"A/C/E/G/I/K/M";;;;;;;;;;;;;"W";"F";;4
420;;901;"MW 4x A-K";"MW 4x- A-K";"MW 4x- A-K";"Boot";"MW";"M";"4x-";"A-K";;;;;;;;;;;;;"W";"F";;4
421;;30;"Frauen-Doppelvierer MA 27-MDA 70 Altersklasse B";"MW 4x- B";"MW 4x- B";"Boot";"MW";"M";"4x-";"B";;;;;;;;;;;;;"W";"F";;4
422;;903;"MW 4x B/D/F/H/J/L";"MW 4x- B/D/F/H/J/L";"MW 4x- B/D/F/H/J/L";"Boot";"MW";"M";"4x-";"B/D/F/H/J/L";;;;;;;;;;;;;"W";"F";;4
423;;905;"MW 4x C";"MW 4x- C";"MW 4x- C";"Boot";"MW";"M";"4x-";"C";;;;;;;;;;;;;"W";"F";;4
424;;906;"MW 4x D";"MW 4x- D";"MW 4x- D";"Boot";"MW";"M";"4x-";"D";;;;;;;;;;;;;"W";"F";;4
425;;907;"MW 4x E";"MW 4x- E";"MW 4x- E";"Boot";"MW";"M";"4x-";"E";;;;;;;;;;;;;"W";"F";;4
426;;908;"MW 4x F";"MW 4x- F";"MW 4x- F";"Boot";"MW";"M";"4x-";"F";;;;;;;;;;;;;"W";"F";;4
427;;909;"MW 4x+ A-F Gig";"MW 4x+ A-F";"MW 4x+ A-F Gig";"Boot";"MW";"M";"4x+";"A-F";"Gig";;;;;;;;;;;;"W";"F";;5
428;;2;"MW 4x+ C Gig";"MW 4x+ C";"MW 4x+ C Gig";"Boot";"MW";"M";"4x+";"C";"Gig";;;;;;;;;;;;"W";"F";;5
429;;910;"MW 8+";"MW 8+";"MW 8+";"Boot";"MW";"M";"8+";;;;;;;;;;;;;;"W";"F";;9
430;;911;"MW A";"MW A";"MW A";"Ergo";"MW";"M";;"A";;;;;;;;;;;;;"W";"F";;
431;;1254;"MW A FUN";"MW A";"MW A FUN";"Ergo";"MW";"M";;"A";"FUN";;;;;;;;;;;;"W";"F";;
432;;1255;"MW A Lgw";"MW A LG";"MW A LG";"Ergo";"MW";"M";;"A";;"LG";;;;;;;;;;;"W";"F";;
433;;733;"Master Frauen A/B";"MW A/B";"MW A/B";"Ergo";"MW";"M";;"A/B";;;;;;;;;;;;;"W";"F";;
434;;926;"MWA - H";"MW A-H";"MW A-H";"Ergo";"MW";"M";;"A-H";;;;;;;;;;;;;"W";"F";;
435;;1191;"MW A-K";"MW A-K";"MW A-K";"Ergo";"MW";"M";;"A-K";;;;;;;;;;;;;"W";"F";;
436;;912;"MW A-M";"MW A-M";"MW A-M";"Ergo";"MW";"M";;"A-M";;;;;;;;;;;;;"W";"F";;
437;;913;"MW B";"MW B";"MW B";"Ergo";"MW";"M";;"B";;;;;;;;;;;;;"W";"F";;
438;;914;"MW C";"MW C";"MW C";"Ergo";"MW";"M";;"C";;;;;;;;;;;;;"W";"F";;
439;;734;"Master Frauen C/D";"MW C/D";"MW C/D";"Ergo";"MW";"M";;"C/D";;;;;;;;;;;;;"W";"F";;
440;;915;"MW D";"MW D";"MW D";"Ergo";"MW";"M";;"D";;;;;;;;;;;;;"W";"F";;
441;;14;"Frauen 50-54 Jahre";"MW D";"MW D";"Ergo";"MW";"M";;"D";"";;;;;;;;;;;;"W";"F";;
442;;1272;"MW C 50-59";"MW D/E";"MW D/E";"Ergo";"MW";"M";;"D/E";;;;;;;;;;;;;"W";"F";;
443;;916;"MW E";"MW E";"MW E";"Ergo";"MW";"M";;"E";;;;;;;;;;;;;"W";"F";;
444;;17;"Frauen 55-59J";"MW E";"MW E";"Ergo";"MW";"M";;"E";"";;;;;;;;;;;;"W";"F";;
445;;735;"Master Frauen E/F";"MW E/F";"MW E/F";"Ergo";"MW";"M";;"E/F";;;;;;;;;;;;;"W";"F";;
446;;917;"MW F";"MW F";"MW F";"Ergo";"MW";"M";;"F";;;;;;;;;;;;;"W";"F";;
447;;19;"Frauen 60-64 Jahre";"MW F";"MW F";"Ergo";"MW";"M";;"F";"";;;;;;;;;;;;"W";"F";;
448;;20;"Frauen 70-74J";"MW F/G";"MW F/G";"Ergo";"MW";"M";;"F/G";"";;;;;;;;;;;;"W";"F";;
449;;918;"MW G";"MW G";"MW G";"Ergo";"MW";"M";;"G";;;;;;;;;;;;;"W";"F";;
450;;736;"Master Frauen G und älter";"MW G";"MW G und älter";"Ergo";"MW";"M";;"G";"und älter";;;;;;;;;;;;"W";"F";;
451;;919;"MW H";"MW H";"MW H";"Ergo";"MW";"M";;"H";;;;;;;;;;;;;"W";"F";;
452;;920;"MW I";"MW I";"MW I";"Ergo";"MW";"M";;"I";;;;;;;;;;;;;"W";"F";;
453;;921;"MW/M 2x";"MW/M 2x";"MW/M 2x";"Boot";"MW/M";"M";"2x";;;;;;;;;;;;;;"W";"F";;2
454;;922;"MW/M 2x A-K Mix";"MW/M 2x A-K";"MW/M 2x A-K mix";"Boot";"MW/M";"M";"2x";"A-K";"mix";;;;;;;;;;;;"W";"F";;2
455;;923;"MW/M 4x A-K Mix";"MW/M 4x- A-K";"MW/M 4x- A-K mix";"Boot";"MW/M";"M";"4x-";"A-K";"mix";;160;;;;;;;;;;"W";"F";;4
456;;924;"MW/M 4x+";"MW/M 4x+";"MW/M 4x+";"Boot";"MW/M";"M";"4x+";;;;;;;;;;;;;;"W";"F";;5
458;;1156;"Novice OFF 4x+, C-Gg 500";"Novice OFF 4x+";"Novice OFF 4x+ Novice Gig";"Boot";"Novice OFF";"S";"4x+";;"Novice Gig";;;;;;;;;;;;;;;5
459;;1157;"Novice SF 4x+, C-Gg 500";"Novice SF 4x+";"Novice SF 4x+ Novice Gig";"Boot";"Novice SF";"S";"4x+";;"Novice Gig";;;;;;;;;;;;;;;5
460;;927;"OFF";"OFF";"OFF";"Ergo";"OFF";"S";;;;;;;;;;;;;;;;;;
461;;928;"OFF 2x";"OFF 2x";"OFF 2x";"Boot";"OFF";"S";"2x";;;;;;;;;;;;;;;;;2
462;;929;"OFF 4x";"OFF 4x-";"OFF 4x-";"Boot";"OFF";"S";"4x";;;;;;;;;;;;;;;;;4
463;;930;"OFF 4x- oder 4- Breitensportler (frei vereinbart)";"OFF 4x- A/B";"OFF 4x- A/B oder 4- Breitensportler (frei vereinbart)";"Boot";"OFF";"S";"4x";"A/B";"oder 4- Breitensportler (frei vereinbart)";;;;;;;;;;;;;;;4
464;;931;"OFF 4x+";"OFF 4x+";"OFF 4x+";"Boot";"OFF";"S";"4x+";;;;;;;;;;;;;;;;;5
465;;932;"OFF 4x+ GIG";"OFF 4x+";"OFF 4x+ Gig";"Boot";"OFF";"S";"4x+";;"Gig";;;;;;;;;;;;;;;5
466;;933;"OFF 4x+ oder 4+ Gig Breitensportler (frei vereinbart)";"OFF 4x+ A/B";"OFF 4x+ A/B oder 4+ Gig Breitensportler (frei vereinbart)";"Boot";"OFF";"S";"4x+";"A/B";"oder 4+ Gig Breitensportler (frei vereinbart)";;;;;;;;;;;;;;;5
467;;934;"OFF 8+";"OFF 8+";"OFF 8+";"Boot";"OFF";"S";"8+";;;;;;;;;;;;;;;;;9
468;;935;"OFF 8x+ oder 8+ Breitensportler (frei vereinbart)";"OFF 8x+ A/B";"OFF 8x+ A/B oder 8+ Breitensportler (frei vereinbart)";"Boot";"OFF";"S";"8x+";"A/B";"oder 8+ Breitensportler (frei vereinbart)";;;;;;;;;;;;;;;9
469;;936;"Para 1-3";"PR";"PR";"Ergo";"PR";"P";;;;;;;;;;;;;;;;;;
470;;938;"PR 1 M ID";"PR";"PR ID";"Ergo";"PR";"P";;;"ID";;;;;;;;;;;;;;;
471;;982;"PRW1 HC AD";"PR";"PR W1 HC AD";"Ergo";"PR";"P";;;"W1 HC AD";;;;;;;;;;;;;;;
472;;983;"PRW3 HC AD";"PR";"PR W3 HC AD";"Ergo";"PR";"P";;;"W3 HC AD";;;;;;;;;;;;;;;
473;;937;"Para-Einer Ju-Mä 15-18";"PR 1x";"PR 1x Ju-Mä 15-18";"Boot";"PR";"P";"1x";"15-18";"Ju-Mä 15-18";;;;;;;;;;;;;;;1
474;;35;"Handicap 4x+ Gig";"PR 4x+";"PR 4x+ Gig";"Boot";"PR";"P";"4x+";;"Gig";;;;;;;;;;;;;;;5
475;;941;"PR1 M";"PR1M";"PR1M";"Ergo";"PR1M";"P";;;;;331;;;;;;;;;;;;;
476;;1243;"PR1 ID M";"PR1M";"PR1M ID";"Ergo";"PR1M";"P";;;"ID";;331;;;;;;;"Hwt";;;"M";"M";;
477;118;942;"PR1 M1x";"PR1M 1x";"PR1M 1x";"Boot";"PR1M";"P";"1x";;;;344;;;;;;;;;;"M";"M";;1
478;;943;"PR1 W";"PR1W";"PR1W";"Ergo";"PR1W";"P";;;;;332;;;;;;;;;;"M";"F";;
479;;1244;"PR1 ID W";"PR1W";"PR1W ID";"Ergo";"PR1W";"P";;;"ID";;332;;;;;;;"Hwt";;;"W";"F";;
480;120;945;"PR1 W1x";"PR1W 1x";"PR1W 1x";"Boot";"PR1W";"P";"1x";;;;346;;;;;;;"Hwt";;;"W";"M";;1
481;;949;"PR2";"PR2";"PR2";"Ergo";"PR2";"P";;;;;;;;;;;;;;;;;;
482;104;954;"PR2 Mix2x";"PR2 2x";"PR2 2x mix";"Boot";"PR2";"P";"2x";;"mix";;345;;17.5.2024 00:00:00;"08:00.57";48050;12012;"2:01,2";;;;"Mix";"Mix";;2
483;;951;"PR2 M";"PR2M";"PR2M";"Ergo";"PR2M";"P";;;;;290;;;;;;;"Hwt";;;"M";"M";;
484;99;952;"PR2 M1x";"PR2M 1x";"PR2M 1x";"Boot";"PR2M";"P";"1x";;;;350;;;;;;;"Hwt";;;"M";"M";;1
485;;955;"PR2 W";"PR2W";"PR2W";"Ergo";"PR2W";"P";;;;;291;;;;;;;"Hwt";;;"W";"F";;
486;;956;"PR2 W1x";"PR2W 1x";"PR2W 1x";"Boot";"PR2W";"P";"1x";;;;287;;;;;;;"Hwt";;;"W";"M";;1
487;;958;"PR3";"PR3";"PR3";"Ergo";"PR3";"P";;;;;;;;;;;;;;;;;;
488;;971;"PR3 PD M";"PR3";"PR3 PD M";"Ergo";"PR3";"P";;;"PD M";;;;;;;;;;;;"M";"M";;
489;;972;"PR3 PD W";"PR3";"PR3 PD W";"Ergo";"PR3";"P";;;"PD W";;;;;;;;;;;;"W";"F";;
490;;968;"PR3 MIX 2x";"PR3 2x";"PR3 2x mix";"Boot";"PR3";"P";"2x";;"mix";;347;;17.5.2024 00:00:00;"07:07.02";42700;10675;"1:46,75";;;;"Mix";"Mix";;2
491;;960;"PR3 4+";"PR3 4+";"PR3 4+";"Boot";"PR3";"P";"4+";;;;348;;;;;;;;;;"M/W";"M/F";;5
492;108;969;"PR3 Mix 4+";"PR3 4+";"PR3 4+ mix";"Boot";"PR3";"P";"4+";;"mix";;348;;17.5.2024 00:00:00;"06:47.29";40720;10180;"1:41,80";;;;"M/W";"M/F";;5
493;;970;"PR3 Mix 4x+";"PR3 4x+";"PR3 4x+ mix";"Boot";"PR3";"P";"4x+";;"mix";;;;;;;;;;;;"M/W";"M/F";;5
494;;961;"PR3 II M";"PR3M";"PR3M";"Ergo";"PR3M";"P";;;;;288;;;;;;;"Hwt";;;"M";"M";;
495;85;966;"PR3 M1x";"PR3M 1x";"PR3M 1x";"Boot";"PR3M";"P";"1x";;;;338;;;;;;;"Hwt";;;"W";"M";;1
496;;962;"PR3 II W";"PR3W";"PR3W";"Ergo";"PR3W";"P";;;;;289;;;;;;;"Hwt";;;"W";"F";;
497;92;976;"PR3 W1x";"PR3W 1x";"PR3W 1x";"Boot";"PR3W";"P";"1x";;;;336;;;;;;;"Hwt";;;"W";"M";;1
498;;939;"PR ID M 1x";"PRM 1x";"PRM 1x ID";"Boot";"PRM";"P";"1x";;"ID";;;;;;;;;;;;"M";"M";;1
499;;940;"PR ID W 1x";"PRW 1x";"PRW 1x ID";"Boot";"PRW";"P";"1x";;"ID";;;;;;;;;;;;"F";"F";;1
500;;984;"Rendsburg Sprint Frauen";"Rendsburg Sprint Frauen A/B";"Rendsburg Sprint Frauen A/B";"Ergo";"Rendsburg Sprint Frauen";;;"A/B";;;;;;;;;;;;;"W";"F";;
501;;985;"Rendsburg Sprint Männer";"Rendsburg Sprint Männer A/B";"Rendsburg Sprint Männer A/B";"Ergo";"Rendsburg Sprint Männer";;;"A/B";;;;;;;;;;;;;"M";"M";;
502;;986;"Ruder-Bundesliga";"Ruder-Bundesliga A/B";"Ruder-Bundesliga A/B Männer oder Frauen Achter";"Ergo";"Ruder-Bundesliga";;;"A/B";"Männer oder Frauen Achter";;;;;;;;;;;;;;;
503;;992;"SF";"SF";"SF";"Ergo";"SF";"S";;;;;;;;;;;;;;;"W";"F";;
504;;21;"Frauen Sprint";"SF";"SF Sprint";"Ergo";"SF";"S";;;"Sprint";;;;;;;;;;;;"W";"F";;
505;;991;"Frauen 1x";"SF 1x";"SF 1x";"Boot";"SF";"S";"1x";;;;;;;;;;;;;;"W";"F";;1
506;67;32;"Frauen-Einer A";"SF 1x A";"SF 1x A";"Boot";"SF";"S";"1x";"A";;;19;;1.1.2020 00:00:00;"07:08.3";42830;10708;"1:47,08";"Hwt";"19-29";"19/29";"W";"F";;1
507;95;496;"Lgw.Frauen-Einer A";"SF 1x A LG";"SF 1x A LG";"Boot";"SF";"S";"1x";"A";;"LG";17;;1.1.2020 00:00:00;"07:22.0";44200;11050;"1:50,50";"Lwt";"19-29";"19/29";"W";"F";;1
508;;1000;"SF 1x A/B";"SF 1x A/B";"SF 1x A/B";"Boot";"SF";"S";"1x";"A/B";;;409;;;;;;;;;;"W";"F";;1
509;;994;"SF 1x 19-29 Jahre";"SF 1x A/B";"SF 1x A/B";"Boot";"SF";"S";"1x";"A/B";"";;409;;1.1.2020 00:00:00;"07:08.3";42830;10708;"1:47,08";"Hwt";"19-29";"19/29";"W";"F";;1
510;;1002;"SF 1x A/B LG";"SF 1x A/B LG";"SF 1x A/B LG";"Boot";"SF";"S";"1x";"A/B";;"LG";341;;;;;;;;;;"W";"F";;1
511;;995;"SF 1x 19-29 Jahre LG";"SF 1x A/B LG";"SF 1x A/B LG";"Boot";"SF";"S";"1x";"A/B";"";"LG";341;;1.1.2020 00:00:00;"07:22.0";44200;11050;"1:50,50";"Lwt";"19-29";"19/29";"W";"F";;1
512;31;1003;"SF 1x B";"SF 1x B";"SF 1x B";"Boot";"SF";"S";"1x";"B";;;281;;1.1.2020 00:00:00;"07:08.3";42830;10708;"1:47,08";"Hwt";"19-29";"19/29";"W";"F";;1
513;59;1005;"SF 1x B LG";"SF 1x B LG";"SF 1x B LG";"Boot";"SF";"S";"1x";"B";;"LG";280;;1.1.2020 00:00:00;"07:22.0";44200;11050;"1:50,50";"Lwt";"19-29";"19/29";"W";"F";;1
514;;1006;"Frauen 1x LG";"SF 1x LG";"SF 1x LG";"Boot";"SF";"S";"1x";;;"LG";;;;;;;;;;;"W";"F";;1
515;;1007;"SF 2-";"SF 2-";"SF 2-";"Boot";"SF";"S";"2-";;;;;;;;;;;;;;"W";"F";;2
516;80;1008;"SF 2- A";"SF 2- A";"SF 2- A";"Boot";"SF";"S";"2-";"A";;;22;;1.1.2020 00:00:00;"06:47.3";40730;10182;"1:41,82";"Hwt";"19-29";"19/29";"W";"F";;2
517;;1009;"SF 2- A/B";"SF 2- A/B";"SF 2- A/B";"Boot";"SF";"S";"2-";"A/B";;;140;;1.1.2020 00:00:00;"06:47.3";40730;10182;"1:41,82";"Hwt";"19-29";"19/29";"W";"F";;2
518;32;1010;"SF 2- B";"SF 2- B";"SF 2- B";"Boot";"SF";"S";"2-";"B";;;283;;1.1.2020 00:00:00;"06:47.3";40730;10182;"1:41,82";"Hwt";"19-29";"19/29";"W";"F";;2
519;;1011;"SF 2- B LG";"SF 2- B LG";"SF 2- B LG";"Boot";"SF";"S";"2-";"B";;"LG";279;;1.1.2020 00:00:00;"07:06.0";42600;10650;"1:46,50";"Lwt";"19-29";"19/29";"W";"F";;2
520;81;31;"Frauen-Doppelzweier A";"SF 2x A";"SF 2x A";"Boot";"SF";"S";"2x";"A";;;26;;1.1.2020 00:00:00;"06:37.2";39720;9930;"1:39,30";"Hwt";"19-29";"19/29";"W";"F";;2
521;95;1013;"SF 2x A LG";"SF 2x A LG";"SF 2x A LG";"Boot";"SF";"S";"2x";"A";;"LG";24;;1.1.2020 00:00:00;"06:41.3";40130;10032;"1:40,32";"Lwt";"19-29";"19/29";"W";"F";;2
522;;1015;"SF 2x A/B";"SF 2x A/B";"SF 2x A/B";"Boot";"SF";"S";"2x";"A/B";;;137;;1.1.2020 00:00:00;"06:37.2";39720;9930;"1:39,30";"Hwt";"19-29";"19/29";"W";"F";;2
523;;1017;"SF 2x A/B LG";"SF 2x A/B LG";"SF 2x A/B LG";"Boot";"SF";"S";"2x";"A/B";;"LG";410;;1.1.2020 00:00:00;"06:41.3";40130;10032;"1:40,32";"Lwt";"19-29";"19/29";"W";"F";;2
524;33;1019;"SF 2x B";"SF 2x B";"SF 2x B";"Boot";"SF";"S";"2x";"B";;;152;;1.1.2020 00:00:00;"06:37.2";39720;9930;"1:39,30";"Hwt";"19-29";"19/29";"W";"F";;2
525;60;1020;"SF 2x B LG";"SF 2x B LG";"SF 2x B LG";"Boot";"SF";"S";"2x";"B";;"LG";278;;1.1.2020 00:00:00;"06:41.3";40130;10032;"1:40,32";"Lwt";"19-29";"19/29";"W";"F";;2
526;;24;"Frauen Vierer Sprint";"SF 4-";"SF 4- Sprint";"Boot";"SF";"S";"4-";;"Sprint";;;;;;;;;;;;"W";"F";;4
527;70;1021;"SF 4- A";"SF 4- A";"SF 4- A";"Boot";"SF";"S";"4-";"A";;;29;;1.1.2020 00:00:00;"06:14.3";37430;9358;"1:33,58";"Hwt";"19-29";"19/29";"W";"F";;4
528;34;1022;"SF 4- B";"SF 4- B";"SF 4- B";"Boot";"SF";"S";"4-";"B";;;277;;1.1.2020 00:00:00;"06:14.3";37430;9358;"1:33,58";"Hwt";"19-29";"19/29";"W";"F";;4
529;;1023;"SF 4+ B";"SF 4+ B";"SF 4+ B";"Boot";"SF";"S";"4+";"B";;;282;;1.1.2020 00:00:00;"06:44.1";40410;10102;"1:41,02";"Hwt";"19-29";"19/29";"W";"F";;5
530;83;28;"Frauen-Doppelvierer A";"SF 4x A";"SF 4x A";"Boot";"SF";"S";"4x";"A";;;91;;1.1.2020 00:00:00;"06:06.2";36620;9155;"1:31,55";"Hwt";"19-29";"19/29";"W";"F";;4
531;116;1026;"SF 4x A LG";"SF 4x A LG";"SF 4x A LG";"Boot";"SF";"S";"4x";"A";;"LG";94;;1.1.2020 00:00:00;"06:16.0";37600;9400;"1:34,00";"Lwt";"19-29";"19/29";"W";"F";;4
532;;1027;"SF 4x A/B";"SF 4x A/B";"SF 4x A/B";"Boot";"SF";"S";"4x";"A/B";;;411;;1.1.2020 00:00:00;"06:06.2";36620;9155;"1:31,55";"Hwt";"19-29";"19/29";"W";"F";;4
533;47;1030;"SF 4x B";"SF 4x B";"SF 4x B";"Boot";"SF";"S";"4x";"B";;;275;;1.1.2020 00:00:00;"06:05.0";36500;9125;"1:31,25";"Hwt";"19-29";"19/29";"W";"F";;4
534;;1031;"SF 4x B LG";"SF 4x B LG";"SF 4x B LG";"Boot";"SF";"S";"4x";"B";;"LG";274;;1.1.2020 00:00:00;"06:16.0";37600;9400;"1:34,00";"Lwt";"19-29";"19/29";"W";"F";;4
535;;1032;"SF 4x+";"SF 4x+";"SF 4x+";"Boot";"SF";"S";"4x+";;;;;;;;;;;;;;"W";"F";;5
536;;1033;"SF 4x+ A";"SF 4x+ A";"SF 4x+ A";"Boot";"SF";"S";"4x+";"A";;;;;;;;;;;;;"W";"F";;5
537;;26;"Frauen-Achter";"SF 8+";"SF 8+";"Boot";"SF";"S";"8+";;;;;;;;;;;;;;"W";"F";;9
538;;27;"Frauen-Achter A";"SF 8+ A";"SF 8+ A";"Boot";"SF";"S";"8+";"A";;;37;;1.1.2020 00:00:00;"05:53.1";35310;8828;"1:28,28";"Hwt";"19-29";"19/29";"W";"F";;9
539;48;1036;"SF 8+ B";"SF 8+ B";"SF 8+ B";"Boot";"SF";"S";"8+";"B";;;271;;1.1.2020 00:00:00;"05:53.0";35300;8825;"1:28,25";"Hwt";"19-29";"19/29";"W";"F";;9
540;;22;"Frauen Ü 19";"SF A";"SF A";"Ergo";"SF";"S";;"A";;;;;;;;;;;;;"W";"F";;
541;84;1034;"SF 8 A";"SF A";"SF A 8";"Ergo";"SF";"S";;"A";"8";;;;;;;;;;;;"W";"F";;
542;;1041;"SF A LG";"SF A LG";"SF A LG";"Ergo";"SF";"S";;"A";;"LG";;;;;;;;;;;"W";"F";;
543;;1044;"SF A/B";"SF A/B";"SF A/B";"Ergo";"SF";"S";;"A/B";;;;;;;;;;;;;"W";"F";;
544;;7;"Frauen 19-29 Jahre";"SF A/B";"SF A/B";"Ergo";"SF";"S";;"A/B";"";;;;;;;;;;;;"W";"F";;
545;;1162;"SF A/B 
Lgw";"SF A/B LG";"SF A/B LG";"Ergo";"SF";"S";;"A/B";;"LG";;;;;;;;;;;"W";"F";;
546;;1047;"SF B LG";"SF B LG";"SF B LG";"Ergo";"SF";"S";;"B";;"LG";;;;;;;;;;;"W";"F";;
547;;1050;"SM";"SM";"SM";"Ergo";"SM";"S";;;;;;;;;;;;;;;"M";"M";;
548;;708;"Männer Sprint";"SM";"SM Sprint";"Ergo";"SM";"S";;;"Sprint";;;;;;;;;;;;"M";"M";;
