"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
18;;1439;"Coastal Mixed-Doppelzweier";"CMix 2x";"CMix 2x";"Coastel";"Cmix";"C";"2x";;;;443;;;;;;;;;;"M/W";"M/F";;2
19;;416;"Juniorinnen 2 WKE";"JF";"JF 2. Wke";"Ergo";"JF";"J";;;"2. Wke";;;;;;;;;;;;"W";"F";;
20;;410;"Juniorinnen 18-20 Jahre";"JF 18-20";"JF 18-20";"Ergo";"JF";"J";;"18-20";"";;;;;;;;;;;;"W";"F";;
21;;36;"JF 1x";"JF 1x";"JF 1x";"Boot";"JF";"J";"1x";;;;;;;;;;;;;;"W";"F";;1
22;19;37;"JF 1x A";"JF 1x A";"JF 1x A";"Boot";"JF";"J";"1x";"A";;;210;;1.1.2020 00:00:00;"07:32.4";45240;11310;"1:53,10";"Hwt";"17-18";"17/18";"W";"F";;1
23;;41;"JF 1x A LG";"JF 1x A LG";"JF 1x A LG";"Boot";"JF";"J";"1x";"A";;"LG";211;;;;;;;;;;"W";"F";;1
24;;564;"LJW 1x A";"JF 1x A LG";"JF 1x A LG";"Boot";"JF";"LGInternational";"1x";"A";;"LG";211;;1.1.2020 00:00:00;"07:42.0";46200;11550;"1:55,50";"Lwt";"17-18";"17/18";"W";"F";;1
25;;42;"JF 1x A/B";"JF 1x A/B";"JF 1x A/B";"Boot";"JF";"J";"1x";"A/B";;;258;;1.1.2020 00:00:00;"07:32.4";45240;11310;"1:53,10";"Hwt";"15-18";"15/18";"W";"F";;1
26;;43;"JF 1x A/B LG";"JF 1x A/B LG";"JF 1x A/B LG";"Boot";"JF";"J";"1x";"A/B";;"LG";257;;;;;;;"Lwt";"15-18";"15/18";"W";"F";;1
27;;44;"JF 1x B";"JF 1x B";"JF 1x B";"Boot";"JF";"J";"1x";"B";;;212;;1.1.2020 00:00:00;"05:43.1";34310;11437;"1:54,37";"no";"15-16";"15/16";"W";"F";;1
28;;47;"JF 1x B I/II LG";"JF 1x B LG";"JF 1x B LG";"Boot";"JF";"J";"1x";"B";;"LG";213;;;;;;;;;;"W";"F";;1
29;;565;"LJW 1x B";"JF 1x B LG";"JF 1x B LG";"Boot";"JF";"LGInternational";"1x";"B";;"LG";213;;1.1.2020 00:00:00;"05:50.2";35020;11673;"1:56,73";"no";"15-16";"15/16";"W";"F";;1
30;;52;"JF 2-";"JF 2-";"JF 2-";"Boot";"JF";"J";"2-";;;;;;;;;;;;;;"W";"F";;2
31;20;53;"JF 2- A";"JF 2- A";"JF 2- A";"Boot";"JF";"J";"2-";"A";;;214;;1.1.2020 00:00:00;"07:14.3";43430;10858;"1:48,58";"Hwt";"17-18";"17/18";"W";"F";;2
32;;55;"JF 2- B";"JF 2- B";"JF 2- B";"Boot";"JF";"J";"2-";"B";;;215;;1.1.2020 00:00:00;"05:30.4";33040;11013;"1:50,13";"no";"15-16";"15/16";"W";"F";;2
33;21;56;"JF 2x A";"JF 2x A";"JF 2x A";"Boot";"JF";"J";"2x";"A";;;216;;1.1.2020 00:00:00;"07:00.3";42030;10508;"1:45,08";"Hwt";"17-18";"17/18";"W";"F";;2
34;;58;"JF 2x A I-III LG";"JF 2x A LG";"JF 2x A LG";"Boot";"JF";"J";"2x";"A";;"LG";217;;;;;;;;;;"W";"F";;2
35;;566;"LJW 2x A";"JF 2x A LG";"JF 2x A LG";"Boot";"JF";"LGInternational";"2x";"A";;"LG";217;;1.1.2020 00:00:00;"07:06.0";42600;10650;"1:46,50";"Lwt";"17-18";"17/18";"W";"F";;2
36;;60;"JF 2x A/B";"JF 2x A/B";"JF 2x A/B";"Boot";"JF";"J";"2x";"A/B";;;131;;1.1.2020 00:00:00;"07:00.3";42030;10508;"1:45,08";"Hwt";"15-18";"15/18";"W";"F";;2
37;;61;"JF 2x B";"JF 2x B";"JF 2x B";"Boot";"JF";"J";"2x";"B";;;218;;1.1.2020 00:00:00;"05:19.1";31910;10637;"1:46,37";"no";"15-16";"15/16";"W";"F";;2
38;;64;"JF 2x B I/II LG";"JF 2x B LG";"JF 2x B LG";"Boot";"JF";"J";"2x";"B";;"LG";219;;;;;;;;;;"W";"F";;2
39;;567;"LJW 2x B";"JF 2x B LG";"JF 2x B LG";"Boot";"JF";"LGInternational";"2x";"B";;"LG";219;;1.1.2020 00:00:00;"05:27.0";32700;10900;"1:49,00";"no";"15-16";"15/16";"W";"F";;2
40;22;69;"JF 4- A";"JF 4- A";"JF 4- A";"Boot";"JF";"J";"4-";"A";;;220;;1.1.2020 00:00:00;"06:36.0";39600;9900;"1:39,00";"Hwt";"17-18";"17/18";"W";"F";;4
41;;432;"Juniorinnen-Vierer A/B";"JF 4- A/B";"JF 4- A/B";"Boot";"JF";"J";"4-";"A/B";;;;;;;;;;;;;"W";"F";;4
42;;70;"JF 4- B";"JF 4- B";"JF 4- B";"Boot";"JF";"J";"4-";"B";;;221;;1.1.2020 00:00:00;"05:01.1";30110;10037;"1:40,37";"no";"15-16";"15/16";"W";"F";;4
43;;72;"JF 4+ A";"JF 4+ A";"JF 4+ A";"Boot";"JF";"J";"4+";"A";;;222;;1.1.2020 00:00:00;"06:53.0";41300;10325;"1:43,25";"Hwt";"17-18";"17/18";"W";"F";;5
44;;73;"JF 4+ B";"JF 4+ B";"JF 4+ B";"Boot";"JF";"J";"4+";"B";;;223;;1.1.2020 00:00:00;"05:08.0";30800;10267;"1:42,67";"no";"15-16";"15/16";"W";"F";;5
45;23;74;"JF 4x A";"JF 4x- A";"JF 4x- A";"Boot";"JF";"J";"4x-";"A";;;225;;1.1.2020 00:00:00;"06:23.0";38300;9575;"1:35,75";"Hwt";"17-18";"17/18";"W";"F";;4
46;;76;"JF 4x A LG";"JF 4x- A LG";"JF 4x- A LG";"Boot";"JF";"J";"4x-";"A";;"LG";227;;1.1.2020 00:00:00;"06:33.1";39310;9828;"1:38,28";"Lwt";"17-18";"17/18";"W";"F";;4
47;;77;"JF 4x B";"JF 4x- B";"JF 4x- B";"Boot";"JF";"J";"4x-";"B";;;415;;1.1.2020 00:00:00;"06:23.0";38300;9575;"1:35,75";"Hwt";"15-16";"15/16";"W";"F";;4
48;;78;"JF 4x+ B";"JF 4x+ B";"JF 4x+ B";"Boot";"JF";"J";"4x+";"B";;;228;;1.1.2020 00:00:00;"04:54.2";29420;9807;"1:38,07";"no";"15-16";"15/16";"W";"F";;5
49;;80;"JF 4x+ B LG";"JF 4x+ B LG";"JF 4x+ B LG";"Boot";"JF";"J";"4x+";"B";;"LG";343;;1.1.2020 00:00:00;"05:01.1";30110;10037;"1:40,37";"Lwt";"15-16";"15/16";"W";"F";;5
50;24;81;"JF 8+ A";"JF 8+ A";"JF 8+ A";"Boot";"JF";"J";"8+";"A";;;230;;1.1.2020 00:00:00;"06:10.0";37000;9250;"1:32,50";"Hwt";"17-18";"17/18";"W";"F";;9
51;;83;"JF 8+ B";"JF 8+ B";"JF 8+ B";"Boot";"JF";"J";"8+";"B";;;231;;1.1.2020 00:00:00;"04:41.1";28110;9370;"1:33,70";"no";"15-16";"15/16";"W";"F";;9
52;;84;"JF A";"JF A";"JF A";"Ergo";"JF";"J";;"A";;;;;;;;;;;;;"W";"F";;
53;;404;"Juniorinnen 17/18 J";"JF A";"JF A";"Ergo";"JF";"J";;"A";"";;;;;;;;;;;;"W";"F";;
54;;418;"Juniorinnen A (2. WKE)";"JF A";"JF A 2. Wke";"Ergo";"JF";"J";;"A";"2. Wke";;;;;;;;;;;;"W";"F";;
55;;91;"JF A LG";"JF A LG";"JF A LG";"Ergo";"JF";"J";;"A";;"LG";;;;;;;;;;;"W";"F";;
56;;531;"Lgw.Juniorinnen 17/18 J";"JF A LG";"JF A LG";"Ergo";"JF";"J";;"A";"";"LG";;;;;;;;;;;"W";"F";;
57;;402;"Juniorinnen 15-17 Jahre";"JF A/B";"JF A/B";"Ergo";"JF";"J";;"A/B";"";;;;;;;;;;;;"W";"F";;
58;;93;"JF B";"JF B";"JF B";"Ergo";"JF";"J";;"B";;;;;;;;;;;;;"W";"F";;
59;;396;"Juniorinnen 15/16 J";"JF B";"JF B";"Ergo";"JF";"J";;"B";"";;;;;;;;;;;;"W";"F";;
60;;421;"Juniorinnen B (2. WKE)";"JF B";"JF B 2. Wke";"Ergo";"JF";"J";;"B";"2. Wke";;;;;;;;;;;;"W";"F";;
61;;99;"JF B LG";"JF B LG";"JF B LG";"Ergo";"JF";"J";;"B";;"LG";;;;;;;;;;;"W";"F";;
62;;527;"Lgw.Juniorinnen 15/16 J";"JF B LG";"JF B LG";"Ergo";"JF";"J";;"B";"";"LG";;;;;;;;;;;"W";"F";;
63;;388;"Junioren 2 WKE";"JM";"JM 2. Wke";"Ergo";"JM";"J";;;"2. Wke";;;;;;;;;;;;"W";"F";;
64;;382;"Junioren 18-20 Jahre";"JM 18-20";"JM 18-20";"Ergo";"JM";"J";;"18-20";"";;;;;;;;;;;;"M";"M";;
65;;106;"JM 1x";"JM 1x";"JM 1x";"Boot";"JM";"J";"1x";;;;;;;;;;;;;;"M";"M";;1
66;13;107;"JM 1x A";"JM 1x A";"JM 1x A";"Boot";"JM";"J";"1x";"A";;;192;;1.1.2020 00:00:00;"06:45.4";40540;10135;"1:41,35";"Hwt";"17-18";"17/18";"M";"M";;1
67;;112;"JM 1x A I/II LG";"JM 1x A LG";"JM 1x A LG";"Boot";"JM";"J";"1x";"A";;"LG";232;;;;;;;;;;"M";"M";;1
68;;556;"LJM 1x A";"JM 1x A LG";"JM 1x A LG";"Boot";"JM";"LGInternational";"1x";"A";;"LG";232;;1.1.2020 00:00:00;"06:59.0";41900;10475;"1:44,75";"Lwt";"17-18";"17/18";"M";"M";;1
69;;117;"JM 1x A/B";"JM 1x A/B";"JM 1x A/B";"Boot";"JM";"J";"1x";"A/B";;;256;;;;;;;"Hwt";"15-18";"15/18";"M";"M";;1
70;;118;"JM 1x A/B LG";"JM 1x A/B LG";"JM 1x A/B LG";"Boot";"JM";"J";"1x";"A/B";;"LG";255;;1.1.2020 00:00:00;"06:59.0";41900;10475;"1:44,75";"Lwt";"15-18";"15/18";"M";"M";;1
71;;119;"JM 1x B";"JM 1x B";"JM 1x B";"Boot";"JM";"J";"1x";"B";;;193;;1.1.2020 00:00:00;"05:08.0";30800;10267;"1:42,67";"no";"15-16";"15/16";"M";"M";;1
72;;122;"JM 1x B I/II LG";"JM 1x B LG";"JM 1x B LG";"Boot";"JM";"J";"1x";"B";;"LG";233;;1.1.2020 00:00:00;"05:19.4";31940;10647;"1:46,47";"no";"15-16";"15/16";"M";"M";;1
73;;557;"LJM 1x B";"JM 1x B LG";"JM 1x B LG";"Boot";"JM";"LGInternational";"1x";"B";;"LG";233;;;;;;;;;;"M";"M";;1
74;;127;"JM 2-";"JM 2-";"JM 2-";"Boot";"JM";"J";"2-";;;;;;;;;;;;;;"M";"M";;2
75;14;128;"JM 2- A";"JM 2- A";"JM 2- A";"Boot";"JM";"J";"2-";"A";;;198;;1.1.2020 00:00:00;"06:26.0";38600;9650;"1:36,50";"Hwt";"17-18";"17/18";"M";"M";;2
76;;130;"JM 2- A LG";"JM 2- A LG";"JM 2- A LG";"Boot";"JM";"J";"2-";"A";;"LG";234;;;;;;;;;;"M";"M";;2
77;;558;"LJM 2- A";"JM 2- A LG";"JM 2- A LG";"Boot";"JM";"LGInternational";"2-";"A";;"LG";234;;1.1.2020 00:00:00;"06:38.2";39820;9955;"1:39,55";"Lwt";"17-18";"17/18";"M";"M";;2
78;;131;"JM 2- A/B";"JM 2- A/B";"JM 2- A/B";"Boot";"JM";"J";"2-";"A/B";;;199;;1.1.2020 00:00:00;"06:26.0";38600;9650;"1:36,50";"Hwt";"15-18";"15/18";"M";"M";;2
79;;132;"JM 2- B";"JM 2- B";"JM 2- B";"Boot";"JM";"J";"2-";"B";;;200;;1.1.2020 00:00:00;"04:53.3";29330;9777;"1:37,77";"no";"15-16";"15/16";"M";"M";;2
80;15;134;"JM 2x A";"JM 2x A";"JM 2x A";"Boot";"JM";"J";"2x";"A";;;162;;1.1.2020 00:00:00;"06:14.4";37440;9360;"1:33,60";"Hwt";"17-18";"17/18";"M";"M";;2
81;;136;"JM 2x A III LG";"JM 2x A LG";"JM 2x A LG";"Boot";"JM";"J";"2x";"A";;"LG";235;;1.1.2020 00:00:00;"06:22.3";38230;9558;"1:35,58";"Lwt";"17-18";"17/18";"M";"M";;2
82;;559;"LJM 2x A";"JM 2x A LG";"JM 2x A LG";"Boot";"JM";"LGInternational";"2x";"A";;"LG";235;;;;;;;;;;"M";"M";;2
